역명2,구
7호선 신풍역,영등포구
7호선 어린이대공원역,광진구
7호선 온수역,구로구
7호선 용마산역,중랑구
7호선 이수역,동작구
7호선 장승배기역,동작구
7호선 중계역,노원구
7호선 중곡역,광진구
7호선 중화역,중랑구
7호선 천왕역,구로구
7호선 청담역,강남구
7호선 태릉입구역,노원구
7호선 하계역,노원구
7호선 학동역,강남구
8호선 가락시장역,송파구
8호선 강동구청역,강동구
8호선 몽촌토성역,송파구
8호선 문정역,송파구
8호선 복정역,송파구
8호선 석촌역,송파구
8호선 송파역,송파구
8호선 암사역,강동구
8호선 잠실역,송파구
8호선 장지역,송파구
8호선 천호역,강동구
9호선 가양역,강서구
9호선 개화역,강서구
9호선 고속터미널역,서초구
9호선 공항시장역,강서구
9호선 구반포역,서초구
9호선 국회의사당역,영등포구
9호선 김포공항역,강서구
9호선 노들역,동작구
9호선 노량진역,동작구
9호선 당산역,영등포구
9호선 동작역,동작구
9호선 등촌역,강서구
9호선 마곡나루역,강서구
9호선 봉은사역,강남구
9호선 사평역,서초구
9호선 삼성중앙역,강남구
9호선 샛강역,영등포구
9호선 선유도역,영등포구
9호선 선정릉역,강남구
9호선 신논현역,강남구
9호선 신목동역,양천구
9호선 신반포역,서초구
9호선 신방화역,강서구
9호선 양천향교역,강서구
9호선 언주역,강남구
9호선 여의도역,영등포구
9호선 염창역,강서구
9호선 종합운동장역,송파구
9호선 증미역,강서구
9호선 흑석역,동작구
공항철도 1호선 공덕역,마포구
공항철도 1호선 김포공항역,강서구
공항철도 1호선 디지털미디어시티역,마포구
공항철도 1호선 서울역,용산구
공항철도 1호선 홍대입구역,마포구
분당선 강남구청역,강남구
분당선 개포동역,강남구
분당선 구룡역,강남구
분당선 대모산입구역,강남구
분당선 도곡역,강남구
분당선 매탄권선역,
분당선 서울숲역,성동구
분당선 선릉역,강남구
분당선 선정릉역,강남구
분당선 수서역,강남구
분당선 압구정로데오역,강남구
분당선 한티역,강남구
우이신설선 4.19민주묘지역,강북구
우이신설선 가오리역,강북구
우이신설선 보문역,성북구
우이신설선 북한산보국문역,성북구
우이신설선 북한산우이역,강북구
우이신설선 삼양사거리역,강북구
우이신설선 삼양역,강북구
우이신설선 성신여대입구역,성북구
우이신설선 솔밭공원역,강북구
우이신설선 솔샘역,강북구
우이신설선 신설동역,동대문구
우이신설선 정릉역,성북구
우이신설선 화계역,강북구
중앙선 광운대역,노원구
중앙선 녹천역,도봉구
중앙선 도봉산역,도봉구
중앙선 도봉역,도봉구
중앙선 망우역,중랑구
중앙선 방학역,도봉구
중앙선 상봉역,도봉구
중앙선 서빙고역,용산구
중앙선 석계역,노원구
중앙선 신이문역,동대문구
중앙선 옥수역,성동구
중앙선 왕십리역,성동구
중앙선 외대앞역,
중앙선 월계역,
중앙선 응봉역,성동구
중앙선 이촌역,용산구
중앙선 중랑역,중랑구
중앙선 청량리역,동대문구
중앙선 한남역,용산구
중앙선 회기역,동대문구
